11,,4,en,,4/16/18 17:00,4/16/18 16:58,https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en,Male,United States of America,less than 5 years,Theory,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,No,Yes,No,No,No,No,No,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Each individual researcher should decide for their work autonomously.,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.02,25.51,0,0,0,0,0,0,36.41,0,0,45.93,0,0,0,0,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,,4,en,,4/23/18 11:02,4/23/18 11:00,,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,Yes,No,No,No,No,No,No,No,No,No,Strongly agree,Somewhat agree,Neutral,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.47,24.04,0,0,0,0,0,0,22.64,0,0,50.76,0,0,0,0,32.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,4,en,,4/23/18 11:02,4/23/18 11:00,,Male,Switzerland,less than 5 years,Experiment,> 500 members,,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Yes,No,No,No,No,No,No,No,No,No,No,Somewhat agree,Strongly agree,Somewhat agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,The HEP community as a whole should decide and set practices.,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.11,20.41,0,0,0,0,0,0,25.65,0,0,38.06,0,0,0,0,26.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,,4,en,,4/23/18 11:07,4/23/18 11:03,,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Yes,Yes,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.02,36.37,0,0,0,0,0,0,62.1,0,0,68.99,0,0,0,0,76.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,,4,en,,4/23/18 11:12,4/23/18 11:06,,Male,United States of America,less than 5 years,Experiment,> 500 members,,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Yes,No,Yes,No,No,No,No,No,No,No,No,Strongly agree,Neutral,Somewhat agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,,Each individual researcher should decide for their work autonomously.,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.61,25.55,0,0,0,0,0,0,93.91,0,0,64.64,0,0,0,0,82.27,0,0,0,0,0,0,115.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,,4,en,,4/23/18 11:11,4/23/18 11:07,,Male,Brazil,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,No,No,Yes,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,,The HEP community as a whole should decide and set practices.,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.95,20.71,0,0,0,0,0,0,118.08,0,0,49.11,0,0,0,0,51.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,,4,en,,4/23/18 11:22,4/23/18 11:19,,Male,Italy,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Yes,No,No,No,No,No,No,No,No,No,No,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.02,28.21,0,0,0,0,0,0,65.36,0,0,63.15,0,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,,4,en,,4/23/18 11:21,4/23/18 11:19,,Male,Germany,less than 5 years,Experiment,> 500 members,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Yes,No,No,No,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Strongly agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.52,16.22,0,0,0,0,0,0,34.82,0,0,28.46,0,0,0,0,42.77,0,0,0,0,0,0,17.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,,4,en,,4/23/18 11:30,4/23/18 11:26,,Male,Hungary,11 - 15 years,Experiment,101 - 500 members,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Yes,Yes,No,No,No,No,No,No,No,No,No,Neutral,Neutral,Somewhat agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,The HEP community as a whole should decide and set practices.,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.61,52.02,0,0,0,0,0,0,38.4,0,0,104.18,0,0,0,0,26.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,,4,en,,4/23/18 14:36,4/23/18 14:32,,Male,Norway,more than 20 years,Theory,,,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,No,No,No,No,No,No,No,No,No,No,Yes,,,,,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Each collaboration or team should decide for their work.,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.77,24.01,0,0,0,0,0,0,76.69,0,0,63.18,0,0,0,0,48.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
